,cause,effect,word
0,also the 2018 african championship in mauritius became my best performance so far,a month before the competition,because
1,left before the summit concluded,of a terrorist attack in northern sinai,because
2,let 's,in our white house correspondent boris sanchez,bring
3,it,clear that he lied intentionally and they suggest he was a practice liar,makes
4,what,of death,cause
5,i,in dr. zeke emanuel,bring
6,a,lot of sense,make
7,it,no sense,makes
8,"the special adviser to governor unk wike on land , dr unk onuoha",this call in port harcourt at the unk lecture in honour of unk,made
9,which things,tougher out there and led to a scrappy match,made
10,258 cd 298 that belongs to icrt,the accident,caused
11,"whether on malaria or hiv/aids , that africa","well-informed interventions such as surveillance , prevention and cure",make
12,sign of enemy fire and suggested the bad weather,a fatal pilot error or technical problem,caused
13,me,understand how crucial it,made
14,which,back next year,made
15,the aggregate performance of our operating businesses and in comparing our,from period to period,results
16,will also help in this period of recession,jobs will be created,because
17,he,in the prison workshop,made
18,the directive,its potency to compromise nigeria 's security system,because
19,it,cheaper to borrow,makes
20,in raising sectarian conflict in yemen which,the situation in yemen more complex,make
21,possible,"multiplication at these three levels of course extends critically to the conception of the ministries , departments and agencies ( unk",made
22,better,within an adversarial industrial relations framework wherein collective bargaining agreement yields more to militancy,made
23,up,for the huge skills and competency gaps,make
24,lower transaction,costs and higher levels of consumption will significantly enhance economic growth,resulting
25,the world,of the high cost,because
26,lawmakers,it happen,make
27,long-term ally libya,military equipment and dozens of troops,sent
28,"zimbabwean shares , which crashed in 1992",a severe drought that hit the agriculture-based economy,because
29,police,any arrests and there were no further incidents,make
30,the iraqi campaign,of murky intelligence,result
31,the team did n't win a single game,they lacked experience,because
32,important to note that malinga first,his bow in top-flight football,made
33,they fled,of the fear of death,because
34,the u.n.,in,sending
35,time to come up with detailed and holistic,into the cases,results
36,the sudden death of abacha,a number of changes in the most populous african country,brought
37,which it,financed by some western countries their own commitment that except one or two of their friends take power in nigeria,made
38,it,keeps happening everyday,because
39,the union impound vehicles that load in unauthorized areas without entering the park,most of those that engage in criminal activities do not enter the park,because
40,those who are accused of war crimes,lot of money during the wars,made
41,resumed at the unk mine near unk in 2001 after being suspended for several years,of thefts from the mine,because
42,"a number of radio stations and , in the worst case scenario",the lives of journalists,put
43,the convictions,a tough situation,made
44,the level of insecurity,most of the small arms were smuggled through those land borders,because
45,you,you gave them the privilege of coming,because
46,"a song , infuse a new twist or",you simply wan na tap,because
47,you,grow and make you a better artiste,make
48,"builds our character , increases and boosts our confidence",the more we learn and know the more we are able to fit into any type of gathering or society,because
49,it,clear that he did not quit unicef,made
50,"the senator unk : unk again , @ unk malam @ unk",a ridiculous bill,sent
51,this current cacophony of issues,aside,put
52,that unk a two-sided unk,something,mean
53,should liberia really be penalized by the mcc just,the definition of an indicator changed,because
54,we,appropriate measures on ground despite our losses,put
55,function,the swearing-in has to be conducted between 10am and 2pm and so we shall be very strict on time,because
56,left-arm pacer brian unk and unk tawanda mupariwa,out,left
57,it,religious and international issues easy to create an image of an enemy,makes
58,"casting votes in elections , attending rallies unk",posts in their social networks,making
59,the kingdom chose airtel,it s ethical and transparent,because
60,the use of contraceptives,them infertility,cause
61,important,the unk leader and deputy surrendered with more than 150 fighters,because
62,our democracy,without having public conversations,make
63,we,primary and secondary education free and compulsory,made
64,we have made primary and secondary education free and compulsory in the state,the task of improving the quality of education in the state is enormous,because
65,the illegal activities,severe revenue shortages to the government,caused
66,i,this project is pursued,make
67,i think that gender balance came about,the resistance of female monarchs to male domination,result
68,they must find a replacement for the female monarch first,it is she that has to crown the king,because
69,i have taken unk to unk in oyo not less than five times,they are preventing her from reigning,because
70,took her to alaafin and alaafin,her the unk of yorubaland,made
71,should not come to the state,of what i was doing about unk stool,because
72,strengthened our hope especially,in private,because
73,it is public knowledge that you have since day one of assuming office,security,made
74,the kind of noise that will give us sleepless nights,we have always run an inclusive process,because
75,critical,they are the secondary level of healthcare service delivery,because
76,the statement credited to shehu sani,him,made
77,"in lieu of flowers , donations in arthur 's memory","local heroes , inc. , p.o",made
78,ghani warned of a difficult '' spring fighting season and said his government had been working hard to create conditions,for washington,leaving
79,to sadc,of such kind of behaviour,because
80,wood ashes,upon their heads,putting
81,the more participation of teams from lagos and kano states,it worthwhile,made
82,", of exploitation of natural resources",we,because
83,what,the explosions,caused
84,they,"that number , they were certainly happy with the turn-out",make
85,the stock has a 6-month relative strength of 93 which,it,means
86,it my,job that bit easier,makes
87,which,in the convening of this special summit,resulted
88,all measures humanly,the unity of [ sudan ] an attractive option are put in place,make
89,direct effect on relations between the government and the people,"corruption , lawlessness and disorder have created distance between the state and the society",because
90,it,his family nervous,made
91,back,the farm to its pre-eminent status,bringing
92,the very serious question of sincerity of purpose,nobel laureate,made
93,obasanjo had envisaged the labyrinthine nature of discussions at the confab,no conference of this scope and character,because
94,which,we,means
95,"in some cases , families",the unimaginable choice to send their children,making
96,sandra 's farming cooperative demonstrated that foreign aid,help them help themselves,make
97,by investing wisely in mothers like sandra,the world more prosperous,make
98,a microburst in august of 2015,incredible damage to burlingame campground,caused
99,by al unk kidnappers in algeria,calls for siddiqui 's release,made
100,the epidemic,headlines all over the world when top doctors,made
101,the virus,the disease,causes
102,the deterioration of the world 's fragile ecosystem,"infectious diseases to return and bred new ones , according to the washington",caused
103,"who , like sina and unk , still has one year",on his contract,left
104,forging a spirit of nationalism,us proud to be cameroonians and cooperative,makes
105,during the conference,a speech,made
106,you re not shaking hands,sense,makes
107,then,weekly transfers involving billions of zim dollars,made
108,he,the statement in an interview with concord times at his studio conference hall in pujehun,made
109,develop the campus,nigeria is the most forthcoming country,because
110,the bodies of 681 tajik citizens,to tajikistan by plane last year,brought
111,i,robert mugabe has been breathing in this manner for the past 28 years,mean
112,by unk from each zone sessions ; priscilla unk for the north east,the presentations,made
113,which,"together governments , unicef",brings
114,the seizures,strategic efforts to suppress the activities of daredevil smugglers,result
115,have a unicameral legislature,their former system was eating deep into the national treasury,because
116,targeted,it advocates `` one ideology,because
117,emerging market countries,one of their own in charge of the geneva-based trading club,see
118,where 44 charges have been dropped and the only full trial,in the acquittal of the two accused,resulted
119,the government has struggled to bridge the gap inherited,of the dwindling revenue and contending needs of the people of kogi state,because
120,"collaboration with nations in the gulf , an area of significant strategic importance to britain",of its energy resources,because
121,"improved forest management practices , diversified energy sources , and alternative",of income from unk activities,means
122,a former state department official,the decision to edit mr. unk 's report,made
123,where foreign e-books and e-journals,up for sale,put
124,forensic and terrorism experts,clear the incident,make
125,the unrelenting harassment,in an effective halt to turkish trucking companies ' operations,resulted
126,a magnitude 6 quake,severe damage,cause
127,the quake might not have caused much damage it,occurred deep underground,because
128,it 's always been a disputed area,of the oil fields,because
129,they,the ultimate sacrifice,made
130,legally immune from being sued,he is president,because
131,concerned,it 's not absolutely clean,because
132,the brick is top quality,we,because
133,a purported taliban spokesman claimed the hardline militia killed the korean hostage,the afghan government failed to meet taliban demands to release some jailed insurgents,because
134,review,of the deteriorating security situation in afghanistan,because
135,the personalities involved ( in unk ) are people,for this country,made
136,same with lt. general aliyu gusau,a lot of sacrifices,made
137,the relationships that col. wood 's unit,will be everlasting and unforgettable,made
138,rahimullah mahsud said that extra security arrangements,for the safe transfer of sharbat gula,made
139,one,using wires in order to get clear visual signals,make
140,a group is for unk tukur,in niger state,because
141,which,in a comprehensive settlement,result
142,up,just 6 percent of the population,making
143,the oromos,35 percent of the population,make
144,nearly every day comes news of a clash between young protesters and security services,in casualties,resulting
145,political allegiances of panchayat members was not permanent,local body polls were n't fought on party symbols,because
146,the ongoing hostilities between government forces and the sudan liberation unk wahid,in human rights violations and abuses as well as violations of international humanitarian law,resulted
147,spoke on condition of anonymity,of the evidence remains classified,because
148,france 's police over a decade ago foreigners,away on leased trains,send
149,he,the arrest and prosecution of the district police commanders ( unk ) and district veterinary officers ( unk,cause
150,it,an accomplished unk machine,make
151,which,to reporters on monday,sent
152,lost two with two assignments,against south africa and botswana,left
153,the,of the meeting,results
154,the news has emerged after the courts administrators in central somalia,local medical experts to validate that large numbers of flocks of croatian birds are in somalia,sent
155,such policies it,"possible for quacks to operate , adding that globally , laws were made to protect indigenous unk",made
156,"we , on our part , have been talking a lot about the downstream sector",the travel agencies are categorised to be in the downstream sector of the aviation industry,because
157,he,reference to the judgment delivered by justice sidi barge of the apex court,making
158,the operators of our democracy have never thought of creating job opportunities for our unemployed youth,they do n't want the youths to be self-reliant,because
159,temporary trust from god and should therefore not behave in a niggardly manner,they exercise power and control enormous resources,because
160,sundry to let peace reign in our country,peace,because
161,buhari,he has failed in his duties as president of the nation,because
162,stop,it 's deep-rooted in the african culture,because
163,community,i know the effects,because
164,"the political capital of the ijaw nation , inc - europe",a delegation to nigeria,send
165,"the group 's members , who include several nobel peace laureates",new momentum to the reconciliation process,bring
166,militant violence and kidnapping for ransom,they were linked to proscribed group,mean
167,communities and families throughout central america,the money,because
168,mr. arzu 's administration,major improvements in public works infrastructure,made
169,he it,`` big '' in life but never for once forgot his humble beginning,made
170,unk,on a preliminary basis,results
171,fighters,the taliban 's base to ensure,make
172,inec,elaborate arrangements for the deployment of personnel,make
173,it,impossible for them to speak with one voice,making
174,it,mandatory for the federal government,make
175,us,they have seen the difference,because
176,hana mining,its most recent ni unk compliant resource estimate for the ghanzi project on december 20,results
177,"the double olympic 10,000 metres unk whose achievements",him one of ethiopia 's most famous men,made
178,observed larger landslide mobilization rates correlating with higher landslide susceptibilities,from larger landslide numbers rather than from larger landslides,result
179,overall global oil production in unk,"at unk unk , compared with unk unk in q1 and unk unk in unk",put
180,escalating militant attacks in the niger delta since,in some unk of lost production -,resulted
181,the two weeks can create their own games,3d animation and program animated stories in addition to being able to publish their applications online,make
182,private schools are perfectly entitled to resist the bullying,them by the rudd government to sign up to its so-called education revolution until they know its detail,made
183,regret over the thalidomide drug scandal which,hundreds of babies deformed 50 years ago,left
184,by the taliban,the video,made
185,a visionary and a politician,it possible for so many young africans to also fulfil their destinies,made
186,a sitting president would not bother to attend achebe 's funeral,he rejected national honours ' offer,because
187,now,no mistake,make
188,we,decisions based not on fear but on hard-earned wisdom,make
189,the progress 've,core al qaeda,made
190,a hard fact that u.s. strikes,in civilian casualties,resulted
191,we,about war,make
192,faisal shahzad,a car bomb,put
193,the international committee of the red cross therefore considers this area a priority,the returning population,because
194,which,it even more desirable for washington,makes
195,forum,the two sides forged diplomatic ties,since
196,benefits,to the malawian people,bringing
197,will be having only three children - but anything above 2.2 children per woman,the population is still growing,means
198,it 's,for the past half-century africa 's population has been growing as fast or faster than its economies,because
199,i understand more about president nixon and watergate,of shearer 's decades-long parody `` nixon in heaven,because
200,i know more about the insanity of americans in kabul,"of shearer 's many years of `` karzai talk , '' a dead-on call-in unk satire of npr 's",because
201,up,"for that neglect , said satomi ahmad , executive chairman of unk emergency management agency",make
202,they die within an hour or two,ca n't do anything for them,because
203,his dramatic videos of the conflict,the activist `` danny '' known as the voice of homs,made
204,them,to yoku instead of youtube,sending
205,what,this story so special,made
206,he everybody,around him,makes
207,he,the german agenda if he becomes president,force
208,the possibly future german president,him from his german desk,bringing
209,the ebrd 's future is in question,in 2010 it will stop investing in all eight countries that joined the unk,because
210,the ebrd,profits over the last three years,made
211,plans to sell the country 's first sovereign bond in 2008,on hold after global financial crisis,put
212,of,fears,brings
213,he,to kandahar,brought
214,their families,they have easy access to water,because
215,the past left out of government interventions,it,because
216,incapacitated,they failed to object,because
217,the release of testimony by greenglass and unk,they had since died,because
218,the programmes,them work,make
219,the hostages,an emotional plea for help in a telephone interview with a us television network,made
220,"our law enforcement partners , our other allies instituted immediate safety procedures",sure,make
221,"him here in hawaii , others back at the white house situation room",sure he 's,making
222,they,the case that this president is trying to wage a smarter war on terror than the previous president,making
223,the watch list and our detection capabilities,he believes it,because
224,much,right now,mean
225,it,the number one priority to develop effective explosive detection systems,make
226,nervous,that 's america 's key ally in the region and the biggest oil exporter in the world,because
227,qaeda target in yemen,"those fighters , those people can very quickly move down the road , leave a site",because
228,which,"the country goes to the referendum divided , only two years after a damaging political crisis",mean
229,it,we,because
230,to flee their home in east darfur,fighting between the government,because
231,the prolonged dry spell,into serious famine,resulted
232,most people who are coming from kampala only carry unk,they know there is nothing,because
233,discreet,of fear of further attacks,because
234,the sickness,it impossible for her to escape the attack,made
235,the police,any arrest 48 hours after the incident,make
