,cause,cluster,dist,frequency,beta,p_value,tsne_x,tsne_y,"type: sci, news, expanded",new cluster after granger test
0,land seizures,0,4.35738,10151,8.3372,0.0001645298688,-13.12052822,16.51304436,sci,2.0
1,slashed export,0,3.5593199999999996,5801,2.5382,0.0004081036045,13.02587891,45.81657028,news,0.0
2,price rise,0,0.0,39474,4.2369,0.0005749125711000001,28.05780411,58.06283951,sci,0.0
3,mass hunger,4,4.5461599999999995,8541,7.0365,0.0006608466812999999,1.26898551,-13.87581825,expanded,0.0
4,cyclone,1,5.33453,22822,4.2374,0.0007158345900000001,-26.83900452,-72.90365601,sci,2.0
5,failed crops,3,4.11889,6381,4.8193,0.0007683894231,-14.21660233,31.92772675,expanded,2.0
6,disruption to farming,3,4.3068,3690,2.0394,0.0008222814357999999,-12.44286537,18.5850029,expanded,0.0
7,massive starvation,1,4.1582300000000005,8588,5.3917,0.0008321759841,-0.4119113982,-12.38478374,sci,2.0
8,abnormally low rainfall,0,4.37857,1626,1.5854,0.0009204724363,-37.2165184,-41.91343307,sci,2.0
9,withheld relief,0,5.19287,7748,0.2904,0.0009793729586,48.03600311,6.041994095,sci,2.0
10,international alarm,3,4.04997,2102,0.85,0.0009856572194,44.89443207,1.339792967,sci,2.0
11,reduced national output,0,3.3599300000000003,9562,1.3663,0.0009947323192,14.20825577,37.22650146,expanded,2.0
12,oppressive regimes,3,5.08319,1564,4.4635,0.001031709774,47.19238663,-21.05807877,sci,0.0
13,pests,2,0.0,13884,3.1139,0.001144563779,-45.87676239,23.53843498,sci,1.0
14,continued deterioration,3,3.66028,2593,6.882000000000001,0.001145301982,12.66587925,-4.010383606,news,0.0
15,forests destroyed,1,5.26023,6576,9.5316,0.001158465328,27.19225502,-14.23472595,news,4.0
16,man-made disaster,3,4.591019999999999,5688,0.3189,0.001203419671,-9.925225258,-38.32637405,news,4.0
17,food insecurity,3,4.211040000000001,31608,4.2829,0.001221272772,-7.669056892,26.07760239,sci,0.0
18,harvests are devastated,1,3.69069,6337,7.0719,0.001261977124,-8.069771767,-48.188201899999996,expanded,2.0
19,humanitarian situation,4,3.7396199999999995,34453,1.4384,0.001350289698,15.96957684,-0.6553581953000001,expanded,3.0
20,economic impoverishment,3,3.77494,4510,9.4549,0.0015082501579999998,2.305879354,15.23098946,sci,0.0
21,clan battle,4,4.5155,2370,8.4103,0.001544394054,36.52377701,-30.01373291,sci,3.0
22,population crisis,3,3.6744199999999996,2765,8.9337,0.0016627756589999998,0.5794622897999999,13.45776367,sci,0.0
23,aid appeal,3,4.3523,9099,6.1712,0.0016712145449999999,46.57861328,2.916764259,sci,2.0
24,weather extremes,3,3.43515,3435,9.8202,0.001710601984,-3.137061357,-1.39608109,expanded,2.0
25,anti-western policies,3,4.60389,1837,7.8943,0.001794570475,10.41873169,-4.912669659,news,0.0
26,rinderpest,2,5.26668,9047,8.9595,0.001807127776,-54.53248596,5.52752161,sci,1.0
27,inadequate rainfall,1,4.58441,9140,1.8883,0.002086423065,-37.43305206,-42.71880722,expanded,2.0
28,lack of authority,3,3.7799300000000002,7257,7.1342,0.002095356708,52.10277557,1.91767931,news,0.0
29,acute hunger,1,4.37448,2997,9.3759,0.002136186985,-20.80578423,-4.859130383,news,0.0
30,foreign troops,4,4.74302,65166,7.6605,0.002203512984,51.22471619,-25.79586792,news,2.0
31,increased external debt,0,3.3309300000000004,5717,1.1958,0.002225525128,15.15993023,35.92802429,sci,0.0
32,drought,1,0.0,139740,4.0704,0.0022627849780000003,-45.47908783,-33.56209946,sci,2.0
33,conflict,4,0.0,754194,8.9743,0.0022689905549999998,27.998701099999998,-29.93610382,sci,3.0
34,failed rains,1,4.28557,4429,9.426,0.002297125909,-20.88643265,-52.24523926,sci,2.0
35,makeshift camps,4,5.6291,6457,7.4341,0.002380553437,30.303520199999998,-14.62243938,news,2.0
36,civilians uprooted,4,5.131130000000001,1087,1.2121,0.002412857897,29.197881699999996,-17.25572777,sci,2.0
37,dysfunction,3,6.1902,19332,2.1728,0.00260362181,-19.69404602,-9.977466583,sci,0.0
38,foreign aid,3,4.90909,42924,5.7803,0.002815250159,44.66381073,6.317788601,news,2.0
39,violent suppression,4,4.74558,4155,5.9966,0.0029357267810000004,28.60521507,-47.09554291,sci,0.0
40,military dictatorship,4,4.21211,19916,6.8037,0.00299306016,49.61750412,-22.3579483,sci,3.0
41,climatic hazards,3,4.06588,3446,1.4249,0.003025469356,-5.417386532,1.3683995009999999,expanded,4.0
42,migration,3,4.68761,220003,1.3295,0.003027530438,-23.35461044,18.61784935,sci,0.0
43,land grab,0,4.29536,12849,4.6513,0.0031227492349999997,37.67352295,9.917280197,news,2.0
44,terrorism,4,4.62438,519898,1.9367,0.0031705115259999996,55.00490189,-16.51140594,sci,3.0
45,bombing campaign,4,4.66087,19563,9.558,0.003211259697,54.2635994,-19.47679329,news,2.0
46,collapsing economy,0,3.9882,3459,2.7162,0.003215017206,2.091376066,24.18409538,expanded,0.0
47,military junta,4,4.43738,21493,9.5054,0.003225343823,50.08000565,-22.88516808,sci,3.0
48,climate change,3,0.0,89612,2.7441,0.0032516670520000004,8.970630646,13.10315037,sci,0.0
49,rising inflation,0,2.59041,11059,9.8774,0.003361069572,15.17657089,54.993225100000004,sci,0.0
50,international terrorists,3,4.3553,10059,2.2373,0.00341248843,45.51990509,0.1581389308,sci,2.0
51,cycle of poverty,3,3.8622400000000003,6435,8.7294,0.003487472209,-1.102018833,14.17744541,news,0.0
